Criterio,N.. de contratos SCR,Valorizacao em carteira SCR,N.. de contratos FCR,Valorizacao em carteira FCR,N.. de contratos Total,Valorizacao em carteira Total
Valor de mercado na data de exercicio,8,0,11,0,19,0
Avaliacao a realizar na data de exercicio,36,-72.2,283,1769.4,319,1697.2
"Indexado a performance da empresa, com minimo e maximo definidos",2,138.7,5,0,7,138.7
Indexado a performance da empresa,4,36.2,7,4.6,11,40.8
Capitalizacao do valor de aquisicao (indexado a Euribor/IPC),6,43,23,22472.6,29,22515.6
Preco pre‐fixado,3,297.8,22,19850.2,25,20148
Valorizacao anual fixa,,0,2,10513.6,2,10513.6
Contrato (define formula de calculo),7,-20.4,103,440.6,110,420.2
Nao identificado,,0,2,0,2,0
Total,66,423.1,458,"55.051,0",524,55474.1