Metodologia de Valorizacao,Valias Potenciais 10 3 € SCR,Valias Potenciais 10 3 € FCR,Valias Potenciais 10 3 € Total
Valor de aquisicao,0,0,0
Preco de mercado,72,-42385,-42312
Transaccoes relevantes,202,7342,7544
Multiplos,2436,26993,29429
Fluxos de caixa descontados (DCF),10545,-59627,-49082
NAV,186,-341,-155
Valor de aquisicao (factor de desconto),-4548,-998,-5546
Preco de mercado  (factor de desconto),0,0,0
Transaccoes relevantes (factor de desconto),1734,0,1734
Multiplos (factor de desconto),0,-2750,2750
Fluxos de caixa descontados (DCF) (factor de desconto),7244,-1857,5387
Outros,498,-30100,29602
Total,18370,-103722,85352