Sectores de Actividade,N.. Participacoes (1) SCR,Valor SCR,% SCR,N.. Participacoes (1) FCR,Valor FCR,% FCR,N.. Participacoes (1) Total,Valor Total,% Total
Actividades financeiras e de seguros,44,109.87,0.1631595361,101,313.1,0.2928357651,145,422.97,0.2427249095
"Captacao, tratamento e distribuicao de agua;saneamento,  gestao de residuos e despoluicao",3,328.52,0.4878599326,7,29.7,0.02777777778,10,358.22,0.2055675747
Industrias transformadoras,28,28.88,0.04288747977,155,150.8,0.1410400299,183,179.68,0.1031108867
"Actividades de consultoria,  cientificas, tecnicas e similares",32,6.54,0.009712053936,134,164.1,0.1534792368,166,170.64,0.09792320626
Transportes e armazenagem,1,164.85,0.2448061302,1,3.4,0.003179947624,2,168.25,0.09655168456
Actividades administrativas e dos servicos de apoio,8,0.57,0.0008464634164,37,94.8,0.088664422,45,95.37,0.05472888057
"Electricidade, gas, vapor,  agua quente e fria e ar frio",4,0.23,0.0003415554137,15,82,0.07669285447,19,82.23,0.04718838051
Actividades de informacao e de comunicacao,14,1.05,0.001559274715,91,77.2,0.07220351665,105,78.25,0.04490442387
"Alojamento, restauracao e similares",8,2.42,0.003593756961,35,57.3,0.05359147026,43,59.72,0.03427082676
Comercio por grosso e a retalho; reparacao de veiculos automoveis e mo,12,8.91,0.01323155972,77,22.8,0.02132435466,89,31.71,0.01819705152
Actividades imobiliarias,12,7.22,0.01072186994,4,17.7,0.01655443322,16,24.92,0.01430055263
Construcao,3,10.04,0.01490963632,10,12,0.01122334456,13,22.04,0.01264784028
"Agricultura, producao animal, caca,  floresta e pesca",4,0.62,0.0009207145933,12,20.1,0.01879910213,16,20.72,0.01189034713
Actividades de saude humana e apoio  social,5,2.93,0.004351118965,9,13.1,0.01225215114,14,16.03,0.009198950987
"Actividades artisticas, de espectaculos, desportivas e recreativas",3,0.59,0.0008761638872,8,10.5,0.009820426487,11,11.09,0.006364090234
Outras actividades de servicos,0,0,0,5,0.6,0.0005611672278,5,0.6,0.0003443150712
Educacao,2,0.15,0.0002227535306,1,0,0,3,0.15,0.00008607876781
Industrias extractivas,0,0,0,1,0,0,1,0,0
Total,183,673.39,1,703,1069.2,1,886,1742.59,1